Bug list,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defect ID,Module/Function,Title,Description,QC Activity,Severity,Priority,Status,Created Date,Assigned to,Corrective Action,Note,,,,,,,,,,,,,,,,
[UC02-10],??ng ký nhà tuy?n d?ng,Nh?p sai ??nh d?ng S? ?i?n tho?i,"Nh?p sai ??nh d?ng S? ?i?n tho?i
Ex: ??ng ký không thành công và hi?n th? thông báo ""Email ho?c S? ?i?n tho?i không h?p l?""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép nh?p ký t? ch?
EV: https://drive.google.com/file/d/166i0QwKtqhKaSxExwiSKvYjLZf0W8hDD/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC02-11],??ng ký nhà tuy?n d?ng,"Nh?p m?t kh?u ít h?n 8 ký t?, có ch? hoa, th??ng, s? và ký t? ??c bi?t","Nh?p m?t kh?u ít h?n 8 ký t?, có ch? hoa, th??ng, s? và ký t? ??c bi?t.
Ex: ??ng ký không thành công và hi?n th? thông báo ""“M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Gi?i h?n m?t kh?u không ?úng, gi?i h?n ph?i là 8
EV:
https://drive.google.com/file/d/1rGzMjV8vpODvwTo9U4DqpKg7zRwYVfHD/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC02-12],??ng ký nhà tuy?n d?ng,"Nh?p m?t kh?u thi?u ch? hoa, >= 8 ký t?, có  ch? th??ng, s? và ký t? ??c bi?t","Nh?p m?t kh?u thi?u ch? hoa, >= 8 ký t?, có  ch? th??ng, s? và ký t? ??c bi?t
Ex: ??ng ký không thành công và hi?n th? thông báo ""“M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”""",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép nh?p thi?u ch? hoa:
https://drive.google.com/file/d/1AkiS-hTyAaYdSFmzaAinnFZWuUg3LxIx/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC02-13],??ng ký nhà tuy?n d?ng,"Nh?p m?t kh?u thi?u ch? th??ng, >= 8 ký t?, có ch? hoa, s? và ký t? ??c bi?t","Nh?p m?t kh?u thi?u ch? th??ng, >= 8 ký t?, có ch? hoa, s? và ký t? ??c bi?t
Ex: ??ng ký không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép nh?p thi?u ch? th??ng:
https://drive.google.com/file/d/1AkiS-hTyAaYdSFmzaAinnFZWuUg3LxIx/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC02-14],??ng ký nhà tuy?n d?ng,"Nh?p m?t kh?u thi?u ch? s? , >= 8 ký t?, có ch? hoa, th??ng và ký t? ??c bi?t","Nh?p m?t kh?u thi?u ch? s? , >= 8 ký t?, có ch? hoa, th??ng và ký t? ??c bi?t
Ex: ??ng ký không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép nh?p thi?u ch? s?:
https://drive.google.com/file/d/1AkiS-hTyAaYdSFmzaAinnFZWuUg3LxIx/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC02-15],??ng ký nhà tuy?n d?ng,"Nh?p m?t kh?u thi?u ký t? ??c bi?t, >= 8 ký t?, có ch? hoa, th??ng và ch? s?","Nh?p m?t kh?u thi?u ký t? ??c bi?t, >= 8 ký t?, có ch? hoa, th??ng và ch? s?
Ex: ??ng ký không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép nh?p thi?u ký t? ??c bi?t:
https://drive.google.com/file/d/1AkiS-hTyAaYdSFmzaAinnFZWuUg3LxIx/view?usp=drive_link",,,,,,,,,,,,,,,,
??ng nh?p h? th?ng,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC03-13],??ng nh?p h? th?ng,B? tr?ng password,"B? tr?ng password
Ex: '??ng nh?p th?t b?i và hi?n th? thông báo “Tài kho?n ho?c m?t kh?u không h?p l?”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p khi b? tr?ng m?t kh?u
EV: https://drive.google.com/file/d/19ypJ2tZzglZAPtMBmcVJD0675kWaUYrZ/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-14],??ng nh?p h? th?ng,Nh?p password ít h?n 8 ký t?,"Nh?p password ít h?n 8 ký t?
Ex: ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”
",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p vào h? th?ng
EV: https://drive.google.com/file/d/1h-wCW7b78BLiKHfnXgaUNKW_PRXHmjf0/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-15],??ng nh?p h? th?ng,"Nh?p password thi?u ch? hoa nh?ng >= 8 ký t?, ch? th??ng, s? và kí t? ??c bi?t","Nh?p password thi?u ch? hoa nh?ng >= 8 ký t?, ch? th??ng, s? và kí t? ??c bi?t
Ex: ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p vào h? th?ng
EV:
https://drive.google.com/file/d/1swAQuKDkMv5N6JiBh9XJ0T3Uxminz4RR/view?usp=drive_link",,,,,,,,,,,,,,,,
