Item Test,UC01,,,,,,,,,,,,,,,,,,,,,,,,
Test requirement,"Ensure that all features listed below work properly without any errors when using the below browsers.
- Edge in latest version 
- Google Chrome in latest version ",,,,,,,,,,,,,,,,,,,,,,,,
Tester,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,,,,,,,
Pass,Fail,NT,N/A,Number of Test cases,,,,,,,,,,,,,,,,,,,,,
8,10,0,0,18,,,,,,,,,,,,,,,,,,,,,
%,%,%,%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Test Case Description,Pre-condition,Test Case Procedure,Expected Output,Result,Test date,Tester,Note,,,,,,,,,,,,,,,,,
,1.1. Ki?m tra giao di?n,,,,,,,,,,,,,,,,,,,,,,,,
[UC01-1],Ki?m tra t?ng quan màn hình ??ng ký ?ng viên,Truy c?p vào h? th?ng http://34.143.239.189/,"1. Vào trang ??ng nh?p và ??ng ký.
2. Ch?n ??ng kí dành cho ?ng viên","Màn hình hi?n th? ??y ?? các field g?m:
- Icon: Avatar
- Button: Ch?n t?p
- Icon: H? và tên, S? ?i?n tho?i, K? n?ng, Email, Ngày Sinh, Ngo?i ng?, Tài kho?n, Kinh nghi?m, H?c v?n, M?t kh?u, Gi?i thi?u b?n thân
- Textbox: H? và tên, S? ?i?n tho?i, K? n?ng, Email, Ngày Sinh, Ngo?i ng?, Tài kho?n, Kinh nghi?m, H?c v?n, M?t kh?u, Gi?i thi?u b?n thân
- Radio button: Nam, n?
- Button: Ch?n t?p, ??ng ký, ??ng nh?p ngay",Pass,17/04/2024,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,
[UC01-2],Ki?m tra chi ti?t các button,Truy c?p vào h? th?ng http://34.143.239.189/,"1. Vào trang ??ng nh?p và ??ng ký.
2. Ch?n ??ng kí dành cho ?ng viên",Cho phép click vào các button,Pass,17/04/2024,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,
[UC01-3],Ki?m tra chi ti?t các textbox,Truy c?p vào h? th?ng http://34.143.239.189/,"1. Vào trang ??ng nh?p và ??ng ký.
2. Ch?n ??ng kí dành cho ?ng viên","- Watermark ?ng v?i các field
- Cho phép nh?p thông tin vào field",Pass,17/04/2024,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,
[UC01-4],Ki?m tra các Radio buton,Truy c?p vào h? th?ng http://34.143.239.189/,"1. Vào trang ??ng nh?p và ??ng ký.
2. Ch?n ??ng kí dành cho ?ng viên",Cho phép click vào các Radio button,Pass,17/04/2024,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,
[UC01-5],Ki?m tra các Icon,Truy c?p vào h? th?ng http://34.143.239.189/,"1. Vào trang ??ng nh?p và ??ng ký.
2. Ch?n ??ng kí dành cho ?ng viên",Các icon ?ng v?i các field ? màn hình theo yêu c?u,Pass,17/04/2024,Nguy?n Th? Tú Vi,,,,,,,,,,,,,,,,,,
,1.2. Ki?m tra ch?c n?ng,,,,,,,,,,,,,,,,,,,,,,,,
